City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uturoa,-16.7333,-151.4333,75.87,74,96,17.0,PF,1722738831
1,kailua-kona,19.6406,-155.9956,84.16,84,40,10.36,US,1722739023
2,jamestown,42.097,-79.2353,71.19,97,37,1.01,US,1722738748
3,ujae,8.9322,165.7642,83.46,75,22,8.43,MH,1722739026
4,edinburgh of the seven seas,-37.0676,-12.3116,54.79,84,100,35.43,SH,1722739028
5,papatowai,-46.5619,169.4708,50.31,59,94,5.39,NZ,1722739029
6,wailua homesteads,22.0669,-159.378,83.19,73,100,12.66,US,1722739031
7,bethel,41.3712,-73.414,73.71,90,40,0.0,US,1722739032
8,carnarvon,-24.8667,113.6333,69.58,48,0,11.79,AU,1722739034
9,ushuaia,-54.8,-68.3,29.86,59,75,4.61,AR,1722739035
10,west island,-12.1568,96.8225,82.38,69,39,8.05,CC,1722739037
11,grytviken,-54.2811,-36.5092,21.94,92,100,6.53,GS,1722739038
12,isafjordur,66.0755,-23.124,45.07,95,100,10.45,IS,1722739040
13,merowe,18.4833,31.8167,86.59,58,57,9.1,SD,1722739041
14,geiro,-6.15,36.8667,53.15,97,43,2.77,TZ,1722739043
15,avarua,-21.2078,-159.775,75.25,50,100,4.61,CK,1722739045
16,tommot,58.9564,126.2925,67.86,65,100,7.09,RU,1722739046
17,puerto natales,-51.7236,-72.4875,34.63,99,100,3.27,CL,1722739048
18,puerto ayora,-0.7393,-90.3518,67.55,93,77,7.67,EC,1722739049
19,soto la marina,23.7667,-98.2167,76.08,92,13,6.29,MX,1722739051
20,port-aux-francais,-49.35,70.2167,37.08,85,82,11.72,TF,1722739053
21,gremda,34.75,10.7833,81.23,62,0,15.97,TN,1722739054
22,enewetak,11.3474,162.3373,83.66,73,84,3.18,MH,1722739056
23,el porvenir,13.7617,-87.3458,79.93,94,100,4.41,HN,1722739057
24,luganville,-15.5333,167.1667,75.29,81,100,10.02,VU,1722739059
25,gouyave,12.1646,-61.7296,83.17,79,20,13.8,GD,1722739060
26,lakota,5.8528,-5.6883,67.35,100,97,1.99,CI,1722739062
27,tazovsky,67.4667,78.7,59.72,69,85,13.13,RU,1722739064
28,brisas de zicatela,15.8369,-97.0419,77.97,87,100,7.02,MX,1722739065
29,mao,39.8885,4.2658,73.96,78,0,4.61,ES,1722739067
30,bredasdorp,-34.5322,20.0403,50.23,72,100,15.77,ZA,1722739068
31,keflavik,64.0049,-22.5624,53.51,76,75,19.57,IS,1722739070
32,daru,-9.0763,143.2092,75.96,82,100,16.04,PG,1722739071
33,adamstown,-25.066,-130.1015,70.18,72,100,15.75,PN,1722739073
34,waitangi,-43.9535,-176.5597,49.82,86,73,7.0,NZ,1722739076
35,old town,50.087,14.4202,64.27,94,0,9.22,CZ,1722739079
36,iqaluit,63.7506,-68.5145,40.73,80,75,17.27,CA,1722739081
37,kapuskasing,49.4169,-82.4331,62.69,72,40,3.44,CA,1722739083
38,mampong,7.0627,-1.4001,68.81,93,100,6.8,GH,1722739084
39,fale old settlement,-9.3852,-171.2468,82.18,78,100,13.89,TK,1722738818
40,kerikeri,-35.2268,173.9474,57.9,81,100,8.99,NZ,1722739089
41,albany,42.6001,-73.9662,74.55,70,100,2.8,US,1722739090
42,weisswasser,51.5167,14.6333,62.55,94,100,5.39,DE,1722739092
43,longyearbyen,78.2186,15.6401,49.84,100,75,5.75,SJ,1722739093
44,bardai,11.65,7.2333,69.67,90,96,10.0,NG,1722739095
45,amahai,-3.3333,128.9167,78.28,88,100,13.02,ID,1722739096
46,axim,4.8699,-2.2405,73.96,88,55,4.72,GH,1722739098
47,port mathurin,-19.6833,63.4167,70.95,73,80,11.05,MU,1722739099
48,arboletes,8.8505,-76.4269,79.34,85,99,5.37,CO,1722739101
49,sungai penuh,-2.0833,101.3833,77.77,65,81,3.11,ID,1722739102
50,haiku-pauwela,20.9219,-156.3051,80.26,77,40,20.71,US,1722739104
51,crane,31.3974,-102.3501,87.62,36,100,7.09,US,1722739106
52,auki,-8.7676,160.7034,79.88,88,100,4.79,SB,1722739107
53,jeddah,21.5169,39.2192,89.46,70,0,0.0,SA,1722739109
54,blackmans bay,-43.0167,147.3167,56.73,65,39,1.01,AU,1722739110
55,kutum,14.2,24.6667,73.36,78,100,8.99,SD,1722739112
56,invercargill,-46.4,168.35,51.03,72,100,3.0,NZ,1722739114
57,meadow lakes,61.6247,-149.6011,65.91,66,40,3.44,US,1722738947
58,alnavar,15.4333,74.7333,74.3,92,100,13.0,IN,1722739117
59,kita,13.0349,-9.4895,74.03,92,99,4.29,ML,1722739118
60,tucuma,-0.1833,-50.05,76.78,87,31,6.13,BR,1722739120
61,qarqaraly,49.4058,75.4742,72.28,35,20,2.84,KZ,1722739121
62,arraial do cabo,-22.9661,-42.0278,72.12,86,0,22.64,BR,1722739123
63,vuktyl,63.8567,57.3094,61.18,95,100,6.46,RU,1722739124
64,yuzhno-kurilsk,44.0306,145.8556,69.64,85,95,6.87,RU,1722739126
65,alofi,-19.0595,-169.9187,82.29,65,40,10.36,NU,1722739128
66,qaqortoq,60.7167,-46.0333,43.97,81,94,3.62,GL,1722739129
67,attock city,33.7731,72.3741,87.1,65,46,10.45,PK,1722739131
68,sitka,57.0531,-135.33,62.49,67,40,13.8,US,1722739133
69,klyuchi,52.2667,79.1667,77.58,48,2,9.6,RU,1722739134
70,talnakh,69.4865,88.3972,63.79,52,1,11.12,RU,1722739136
71,presque isle,46.6811,-68.0159,71.02,91,0,0.0,US,1722739138
72,tazacorte,28.629,-17.9293,70.77,83,0,14.97,ES,1722739139
73,atafu village,-8.5421,-172.5159,82.27,78,100,14.52,TK,1722739141
74,noumea,-22.2763,166.4572,73.38,99,12,11.56,NC,1722739143
75,thakurdwara,29.2,78.85,82.56,76,93,4.88,IN,1722739144
76,utrik,11.2278,169.8474,83.26,76,5,9.37,MH,1722739146
77,pocora,10.1718,-83.6044,75.97,95,95,1.39,CR,1722739148
78,tura,25.5198,90.2201,80.73,85,36,5.14,IN,1722739149
79,extrema,-22.8547,-46.3183,59.88,65,0,4.59,BR,1722739151
80,jinchang,38.4953,102.1739,80.4,20,92,3.74,CN,1722739152
81,lebu,-37.6167,-73.65,47.01,95,100,7.29,CL,1722739154
82,bikenibeu village,1.3673,173.1241,87.76,66,20,8.05,KI,1722738909
83,salym,60.0625,71.4789,66.29,75,100,3.98,RU,1722739157
84,aykhal,66.0,111.5,69.17,39,87,9.82,RU,1722739158
85,port alfred,-33.5906,26.891,65.17,46,99,1.99,ZA,1722739161
86,college,64.8569,-147.8028,58.98,85,75,3.44,US,1722738927
87,nova sintra,14.8667,-24.7167,79.5,77,71,2.71,CV,1722739164
88,pasuquin,18.3328,120.6177,84.15,79,75,4.61,PH,1722739166
89,point pedro,9.8167,80.2333,83.43,77,100,8.39,LK,1722739170
90,armacao de buzios,-22.7469,-41.8817,69.85,86,0,16.91,BR,1722739172
91,thompson,55.7435,-97.8558,60.96,55,40,3.44,CA,1722739173
92,badger,64.8,-147.5333,58.91,81,75,3.44,US,1722739175
93,hamilton,39.1834,-84.5333,77.04,84,20,0.0,US,1722739176
94,petropavlovsk-kamchatsky,53.0452,158.6483,72.19,40,0,11.18,RU,1722739178
95,murzuq,25.9155,13.9184,80.8,21,0,5.06,LY,1722739179
96,tiksi,71.6872,128.8694,48.07,69,100,4.72,RU,1722739181
97,tianchang,37.9981,114.0156,93.7,44,94,4.56,CN,1722739182
98,yellowknife,62.456,-114.3525,69.42,49,75,5.75,CA,1722739184
99,acapulco de juarez,16.8634,-99.8901,84.02,74,100,10.36,MX,1722739185
100,naze,28.3667,129.4833,88.72,72,1,12.59,JP,1722739187
101,korla,41.7597,86.1469,91.33,20,50,16.2,CN,1722739188
102,punta arenas,-53.15,-70.9167,33.91,80,100,12.66,CL,1722739190
103,egilsstadir,65.2653,-14.3948,46.31,93,75,10.36,IS,1722739191
104,stanley,54.868,-1.6985,52.79,89,97,4.68,GB,1722739193
105,nema,57.5067,50.5011,60.28,92,63,5.32,RU,1722739194
106,pisco,-13.7,-76.2167,60.85,88,100,6.91,PE,1722739196
107,georgetown,5.4112,100.3354,82.35,61,20,8.05,MY,1722739197
108,antsiranana,-12.2787,49.2917,68.41,61,5,13.47,MG,1722739199
109,sao tome,0.3365,6.7273,72.82,80,70,8.63,ST,1722739201
110,sogod,10.3847,124.9814,88.29,62,97,4.88,PH,1722739202
111,turkmenbasy,40.0222,52.9552,79.57,53,75,9.22,TM,1722738929
112,glendive,47.1053,-104.7125,79.75,30,100,13.22,US,1722739206
113,podolsk,55.4242,37.5547,61.23,91,97,4.63,RU,1722739208
114,hami,42.8,93.45,93.79,14,62,12.41,CN,1722739210
115,scarborough,54.2797,-0.4044,56.66,85,100,1.99,GB,1722739211
116,rabo de peixe,37.8,-25.5833,69.31,99,20,5.75,PT,1722739213
117,saint-pierre,-21.3393,55.4781,64.08,59,0,5.75,RE,1722739214
118,mitu,1.1983,-70.1733,72.66,96,70,1.05,CO,1722739217
119,ribeira brava,32.65,-17.0667,74.01,77,0,3.6,PT,1722739219
120,argo,37.6333,22.7333,76.78,41,0,4.63,GR,1722739220
121,hammerfest,70.6634,23.6821,61.25,67,0,3.44,NO,1722739222
122,alice springs,-23.7,133.8833,62.15,34,75,5.75,AU,1722739223
123,mount gambier,-37.8333,140.7667,56.48,56,100,3.8,AU,1722739225
124,hawaiian paradise park,19.5933,-154.9731,78.87,85,100,8.05,US,1722739227
125,zhangjiakou,40.81,114.8794,80.24,62,2,3.56,CN,1722739209
126,margaret river,-33.95,115.0667,58.86,67,21,9.84,AU,1722739230
127,vorgashor,67.5833,63.95,57.09,61,75,17.2,RU,1722739231
128,sao jose da coroa grande,-8.8978,-35.1478,74.88,83,53,15.86,BR,1722739233
129,balqash,46.8481,74.995,77.59,38,0,13.42,KZ,1722739235
130,aasiaat,68.7098,-52.8699,39.9,86,5,6.98,GL,1722739236
131,beaconsfield,45.4334,-73.8659,78.98,80,100,8.05,CA,1722739238
132,bilibino,68.0546,166.4372,50.05,57,100,3.2,RU,1722739239
133,ashland,40.8167,-82.2665,70.97,100,0,4.34,US,1722739241
134,st. john's,47.5649,-52.7093,64.27,84,0,18.41,CA,1722739243
135,natal,-5.795,-35.2094,72.25,83,0,9.22,BR,1722739244
136,dudinka,69.4058,86.1778,59.49,53,0,15.57,RU,1722739246
137,hotan,37.0997,79.9269,88.92,28,84,18.57,CN,1722739248
138,mata-utu,-13.2816,-176.1745,80.65,77,11,9.19,WF,1722739249
139,mejit,10.2753,170.8646,83.08,76,6,10.78,MH,1722739251
140,hithadhoo,-0.6,73.0833,81.79,71,99,3.4,MV,1722739252
141,usogorsk,63.4106,48.6872,60.42,88,100,6.98,RU,1722739254
142,hermanus,-34.4187,19.2345,58.8,77,100,24.72,ZA,1722739255
143,spring creek,40.7266,-115.5859,81.88,34,58,3.0,US,1722739257
144,inirida,3.8653,-67.9239,75.52,95,98,2.21,CO,1722739258
145,parakou,9.3372,2.6303,69.73,97,100,6.13,BJ,1722739260
146,petrovsk,52.3064,45.3917,63.77,61,31,5.32,RU,1722739261
147,olonkinbyen,70.9221,-8.7187,40.78,99,99,8.95,SJ,1722739263
148,madimba,-10.4,40.3333,68.49,90,88,7.43,TZ,1722739265
149,whitehorse,60.7161,-135.0538,65.17,42,75,8.05,CA,1722739044
150,molchanovo,57.5817,83.7692,72.82,61,11,6.11,RU,1722739268
151,laguna,38.421,-121.4238,98.78,13,0,12.66,US,1722739269
152,mahanoro,-19.9,48.8,60.94,84,1,3.98,MG,1722739271
153,coquimbo,-29.9533,-71.3436,53.33,89,75,4.61,CL,1722739210
154,bati,11.1833,40.0167,64.81,71,41,3.02,ET,1722739273
155,belfast,54.5833,-5.9333,57.38,83,75,8.05,GB,1722739275
156,surin,14.8818,103.4936,80.98,82,100,8.01,TH,1722739276
157,san rafael del yuma,18.4299,-68.6739,80.8,85,94,5.82,DO,1722739278
158,zaozersk,69.4005,32.4476,50.07,90,30,5.37,RU,1722739279
159,lata,40.1629,-8.3327,62.08,84,0,3.11,PT,1722739281
160,ryotsu-minato,38.0833,138.4333,85.33,72,8,0.85,JP,1722739282
161,aripuana,-9.1667,-60.6333,77.2,46,43,3.31,BR,1722739284
162,kurchatov,51.6601,35.6521,59.41,97,100,9.93,RU,1722739285
163,lihue,21.9789,-159.3672,83.79,64,100,12.66,US,1722739287
164,touros,-5.1989,-35.4608,72.05,81,0,12.15,BR,1722739288
165,severo-yeniseyskiy,60.3725,93.0408,68.34,45,9,4.25,RU,1722739290
166,burang,30.25,81.1667,54.28,70,91,3.27,CN,1722739291
167,ceeldheer,3.8488,47.1806,74.3,88,76,15.1,SO,1722739293
168,bondo,3.8146,23.6866,69.76,100,100,1.95,CD,1722739294
169,elliot lake,46.3834,-82.6331,63.79,64,2,5.28,CA,1722739296
170,hadibu,12.65,54.0333,77.54,82,37,26.75,YE,1722739297
171,chernushka,56.5072,56.0766,59.2,93,45,7.29,RU,1722739299
172,portland,45.5234,-122.6762,82.09,49,91,1.99,US,1722739017
173,ancud,-41.8697,-73.8203,47.46,90,100,13.24,CL,1722739302
174,borgosesia,45.7145,8.2799,72.0,93,44,5.75,IT,1722739303
175,kimbe,-5.5502,150.1429,76.48,94,100,7.11,PG,1722739305
176,hit,33.6416,42.8251,86.38,32,0,18.97,IQ,1722739306
177,kidal,18.4411,1.4078,83.21,52,98,13.53,ML,1722739308
178,ghadamis,30.1337,9.5007,90.46,15,0,8.19,LY,1722739309
179,dakhla,23.6848,-15.958,67.8,92,2,7.56,EH,1722739311
180,zilair,52.2332,57.4392,56.86,97,81,3.94,RU,1722739312
181,port saint john's,-31.6229,29.5448,67.1,26,74,8.3,ZA,1722739314
182,puerto deseado,-47.7503,-65.8938,37.65,89,91,9.48,AR,1722739315
183,sake,-1.5736,29.045,64.09,65,41,1.05,CD,1722739317
184,lompoc,34.6391,-120.4579,62.85,92,100,6.91,US,1722739318
185,kourou,5.1552,-52.6478,75.25,92,41,5.12,GF,1722739320
186,willowmore,-33.2926,23.4895,51.04,28,100,10.89,ZA,1722739321
187,laurentides,46.4334,-74.9826,65.71,96,100,2.77,CA,1722739323
188,hilo,19.7297,-155.09,79.09,94,100,8.05,US,1722739324
189,new norfolk,-42.7826,147.0587,57.92,51,31,9.98,AU,1722739326
190,lagunas,-5.2269,-75.6753,77.38,63,68,1.41,PE,1722739327
191,mpanda,-6.3655,31.0409,60.17,48,87,1.81,TZ,1722739329
192,sinabang,2.4803,96.3801,76.82,91,100,5.73,ID,1722739330
193,vadso,70.0744,29.7487,50.88,87,100,10.36,NO,1722739332
194,praia da vitoria,38.7333,-27.0667,73.76,88,40,4.65,PT,1722739333
195,mangrol,21.1167,70.1167,82.0,87,100,19.8,IN,1722739335
196,goma,-1.6792,29.2228,63.61,60,25,2.95,CD,1722739336
197,nemuro,43.3236,145.575,66.63,91,57,11.27,JP,1722739338
198,ust-nera,64.5667,143.2,63.0,38,72,6.2,RU,1722739339
199,ribeira grande,38.5167,-28.7,72.77,90,7,4.0,PT,1722739341
200,geraldton,-28.7667,114.6,57.61,72,0,11.5,AU,1722739342
201,yamada,39.4667,141.95,82.56,75,28,4.27,JP,1722739344
202,port moresby,-9.4431,147.1797,85.42,58,40,11.5,PG,1722739345
203,sweet home,44.3976,-122.7362,83.28,45,100,5.99,US,1722739347
204,beyneu,45.3167,55.2,82.27,31,2,1.21,KZ,1722739348
205,tsiombe,-25.3,45.4833,61.16,93,10,2.8,MG,1722739350
206,kingston,17.997,-76.7936,85.15,74,20,12.66,JM,1722739351
207,nabire,-3.3667,135.4833,85.21,69,78,4.25,ID,1722739353
208,oliver,49.1831,-119.5524,95.25,31,99,4.61,CA,1722739354
209,brookings,44.3114,-96.7984,80.6,82,0,6.91,US,1722739356
210,howard springs,-12.497,131.047,84.11,59,96,5.91,AU,1722739357
211,greymouth,-42.4667,171.2,47.93,70,73,4.03,NZ,1722739359
212,nova olimpia,-14.7972,-57.2881,76.51,36,0,4.76,BR,1722739360
213,tual,-5.6667,132.75,77.54,88,50,21.07,ID,1722739362
214,hailey,43.5196,-114.3153,81.81,33,62,1.99,US,1722739363
215,turkeli,41.9476,34.3386,73.76,47,0,4.07,TR,1722739365
216,chonchi,-42.6128,-73.8092,46.11,98,100,2.19,CL,1722739366
217,la ronge,55.1001,-105.2842,61.05,72,100,10.36,CA,1722739368
218,jayapura,-2.5333,140.7,83.59,87,100,7.0,ID,1722739369
219,albertina,-22.2008,-46.6158,61.23,60,12,5.93,BR,1722739371
220,susuman,62.7833,148.1667,62.19,32,41,6.02,RU,1722739373
221,kadoma,34.7333,135.5833,95.05,59,40,5.75,JP,1722739374
222,dalandzadgad,43.5708,104.425,74.39,32,2,6.13,MN,1722739376
223,papao,-17.75,-149.55,78.48,79,81,16.89,PF,1722739377
224,luderitz,-26.6481,15.1594,55.71,89,91,8.46,NA,1722739379
225,bamboo flat,11.7,92.7167,82.49,83,75,2.3,IN,1722739380
226,caleta de carquin,-11.0925,-77.6267,61.65,86,8,8.61,PE,1722739382
227,bac giang,21.2667,106.2,86.07,67,89,10.83,VN,1722739383
228,tolanaro,-25.0319,46.9987,60.87,94,20,6.91,MG,1722739385
229,mana,5.6592,-53.7767,79.02,84,58,7.36,GF,1722739386
230,anadyr,64.75,177.4833,48.0,87,100,17.0,RU,1722739388
231,arteche,12.2645,125.4048,84.78,78,100,1.54,PH,1722739389
232,seaside,36.6111,-121.8516,65.84,91,75,9.22,US,1722739391
233,afaahiti,-17.75,-149.2833,76.87,77,96,15.37,PF,1722739392
234,port elizabeth,-33.918,25.5701,64.09,57,0,3.44,ZA,1722739394
235,igarka,67.4667,86.5833,63.32,75,100,4.47,RU,1722739395
236,kirakira,-10.4544,161.9205,82.49,78,83,12.62,SB,1722739397
237,nantucket,41.2835,-70.0995,78.01,98,23,22.08,US,1722739398
238,sisimiut,66.9395,-53.6735,42.49,87,11,6.73,GL,1722739400
239,okhotsk,59.3833,143.3,63.99,62,5,4.85,RU,1722739401
240,udachny,66.4167,112.4,71.85,37,74,9.78,RU,1722739403
241,le port,-20.9373,55.2919,64.4,75,20,3.29,RE,1722739406
242,el charco,2.4769,-78.1105,74.57,95,94,3.6,CO,1722739409
243,charlestown,-32.95,151.6667,61.5,69,100,1.99,AU,1722739410
244,buala,-8.145,159.5921,81.77,80,99,7.7,SB,1722739412
245,columbia falls,48.3725,-114.1815,80.13,64,0,0.0,US,1722739413
246,vila velha,-20.3297,-40.2925,69.75,98,100,1.99,BR,1722739415
247,jaguaribe,-5.8906,-38.6219,75.61,56,51,6.26,BR,1722739416
248,qeshm,26.9581,56.2719,91.29,84,100,20.02,IR,1722739418
249,colonia,50.9333,6.95,66.81,86,20,3.44,DE,1722739419
250,flin flon,54.7682,-101.865,60.98,50,100,3.27,CA,1722739421
251,cuttack,20.465,85.8793,84.38,71,100,4.68,IN,1722739422
252,pico truncado,-46.7949,-67.9573,35.31,91,35,7.72,AR,1722739424
253,kodiak,57.79,-152.4072,56.71,72,100,11.5,US,1722739425
254,orkney,-26.9802,26.6727,60.48,30,7,17.29,ZA,1722739427
255,balabac,7.9868,117.0645,84.36,69,90,4.29,PH,1722739428
256,farasan,16.7022,42.1183,85.68,78,85,5.59,SA,1722739430
257,san pedro de macoris,18.4616,-69.2972,81.21,88,95,8.3,DO,1722739431
258,kruisfontein,-34.0033,24.7314,61.88,74,100,17.25,ZA,1722739433
259,ambon,-3.6954,128.1814,80.87,95,75,1.14,ID,1722739434
260,marat,25.0701,45.4615,84.96,19,93,6.26,SA,1722739436
261,ust'-kulom,61.6864,53.6902,58.59,98,94,3.71,RU,1722739437
262,heroica guaymas,27.9333,-110.9,90.77,66,40,11.5,MX,1722739439
263,coahuayana de hidalgo,18.7,-103.6583,77.83,91,100,1.88,MX,1722739441
264,selfoss,63.9331,-20.9971,52.84,75,100,21.41,IS,1722739442
265,puerto baquerizo moreno,-0.9,-89.6,66.67,80,57,10.42,EC,1722739443
266,itoman,26.1247,127.6694,91.78,77,20,16.11,JP,1722739445
267,constantia,44.1833,28.65,66.88,65,0,14.36,RO,1722739447
268,nguigmi,14.2495,13.1092,80.76,66,74,16.04,NE,1722739448
269,ghauspur,28.1391,69.0831,84.04,81,100,6.33,PK,1722739450
270,lobujya,27.95,86.8167,39.74,84,100,1.5,NP,1722739451
271,mount pearl,47.5166,-52.7813,63.45,84,0,18.41,CA,1722739453
272,la passe,45.5549,-0.8967,59.23,87,13,2.04,FR,1722739454
273,quellon,-43.1167,-73.6167,44.58,93,100,5.46,CL,1722739456
274,waingapu,-9.6567,120.2641,83.8,57,97,13.15,ID,1722739457
275,el sauzal de rodriguez,31.9,-116.6833,69.42,68,45,2.57,MX,1722739459
276,ilulissat,69.2167,-51.1,44.62,70,24,0.0,GL,1722739460
277,altamira,-3.2033,-52.2064,72.5,56,2,1.88,BR,1722739462
278,mukalla,14.5425,49.1242,83.91,69,81,1.66,YE,1722739463
279,shirdi,19.7667,74.4833,72.68,97,100,6.69,IN,1722739465
280,salahonda,2.1019,-78.7217,78.4,83,90,13.09,CO,1722739466
281,alta,69.9689,23.2717,58.26,78,63,35.01,NO,1722739468
282,fort bragg,35.139,-79.006,73.54,93,40,10.36,US,1722739469
283,annaba,36.9,7.7667,76.96,83,0,4.61,DZ,1722739472
